cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
"11 - CD4 T-cells (CD3+, CD4+)",1.0109676,0.9580642,-0.89846617,-1.5854274,6.130575,-2.098005,-2.2472591,-2.726543,-2.8221445,3.32674,4.818638,1.6033852,7.360769,0.22064649,4.8673625,-3.767431,-2.9076204,-4.0652666,1.1393299,-0.51239544,-1.2227378,3.1919003,-1.7412882,-2.3524852,-6.69036,-0.4001017,0.27961785,1.1002548,-5.042721,-0.6631743,0.6682626,-1.0730973,-1.1159601,-1.5859776,1.8575027,-0.2773821,0.6004096,4.388554,-1.592405,-1.0400249,3.6298776,3.4593809,-0.122388616,-1.7011914,-2.6441522,-1.432085,1.6631836,1.2735832,-0.06150672
"12 - Neutrophils (CD15+, CD11b+, MPO+, HistoneH3+)",-3.0931199,-5.2452507,-0.3684145,5.019327,2.1585536,2.641125,3.267097,1.2114645,-3.839626,-1.3274003,0.92279994,1.6189818,0.3159514,-0.74793863,1.1704874,-0.28443095,-2.902684,1.535063,-0.5803272,0.854932,-0.5014115,-1.67675,0.19966403,0.70538694,-1.2449961,-0.13853593,0.61882925,-0.27869612,2.4280975,1.0777329,2.2063115,0.54251766,-0.4111618,1.3758181,-1.5891762,-0.8906085,-0.6937183,0.0648689,2.7316868,0.47243568,-3.040333,0.35249645,2.5381665,-0.5848651,-2.1010742,1.2116096,1.6098261,0.7369974,13.937723
13 - ?(No marker),-1.4258206,1.810822,3.614697,-5.499402,-3.7563295,2.6032577,1.7131274,2.0010197,-2.2056766,4.1980247,-1.2811147,0.6256037,-2.138062,-1.0515972,1.3146753,3.1903343,-4.9628897,-0.77680933,-0.39168212,-0.5653685,2.276868,3.3142185,-2.6944313,-1.6811054,3.4608424,6.0560894,3.6504743,-0.90668654,-0.53066915,-0.03460515,5.8187065,2.515872,-0.7845306,1.9507934,-4.366104,-0.9221728,1.4151872,-1.7722367,-5.146175,1.6249782,0.843319,5.8509326,1.546269,-0.2379066,-1.7894576,-2.1801915,2.6287384,-3.5217586,-0.20810477
"14 - CD8 T-cells (CD3+, CD8a+)",1.0738586,-0.595991,-0.3836605,-4.190583,8.331459,-3.3098907,1.1595014,1.9504274,0.6090128,0.3387997,1.8303776,-0.32505688,-3.831185,-0.16394831,1.4525014,-2.6030645,1.8743842,-4.699836,-2.7173624,3.9679074,-0.8000914,2.2756891,-0.47770607,-0.4010597,3.1279583,2.3394196,-3.3670807,3.1515956,1.6080449,-1.884928,-2.5366876,1.6686643,-0.14403817,-1.2128867,-5.8947515,-0.21995671,4.615717,-5.9666853,4.533124,1.905812,-3.2248662,0.72432315,-1.0847085,-1.5107466,-0.13338624,1.1264204,-3.5656195,-0.09756075,-1.036171
15 - Endothelial cells (CD31+),-1.1507823,0.76580024,-5.733314,-4.590717,-1.3782575,2.8573122,3.6210394,-0.33128875,-0.6621529,1.084864,-1.3400947,0.4764581,0.9059107,2.7116325,-0.4830161,2.038118,-5.984927,0.6871312,-1.8423858,-1.5124129,0.21560131,-1.1324983,1.7861218,-3.078494,3.3794074,-0.37457192,2.744172,-3.3328905,1.6616356,-5.1910644,-6.5490417,-2.9071884,-0.15343688,-8.62862,-1.4861815,2.8860192,-1.4789946,4.1026535,3.6182332,-0.8967354,0.07088357,1.5005648,-0.01346524,-1.4952444,2.9967735,-0.23614597,-0.44304457,0.99334365,0.25250322
16 - Fibroblasts (CollagenTypeI+),3.7538793,4.574895,2.7447078,0.80983645,-1.8709475,0.12592685,0.32958943,-1.572076,-2.3936493,-5.7125063,2.006124,1.6966977,-0.17114913,0.9343629,-0.7477885,0.1555069,-1.9572078,1.2487552,-1.2129371,-2.7648757,1.5035199,-1.1124362,-3.0909767,0.16699526,0.96477205,-0.5567413,-1.4505614,-1.2916007,-0.8181483,5.207103,-0.14956379,4.85105,-0.69318676,-2.5317333,4.3399196,1.0518258,3.319081,-2.8720748,5.043216,-2.4008708,1.098497,5.1504374,-0.51143104,2.5891376,1.5406657,-7.9411597,-5.6724076,1.7916538,1.4588933
17 - ?(No marker),-2.8634171,-0.3310704,4.059815,-0.7262009,-5.5313406,-2.7540648,-2.871549,-4.044383,1.1290768,-1.682857,3.770807,0.42195386,-0.9899903,0.019963069,0.18800543,-2.2424664,-0.7111036,-1.8043338,2.1077626,0.21826954,5.6453805,1.3748839,-0.47444695,-3.1839464,-0.5227448,-0.12672636,-1.812243,4.0737877,7.0340304,3.5211015,-2.8558426,-4.306223,-2.4808853,-2.6026728,1.3028946,-2.7758427,-1.408872,-0.66662604,0.28863314,-1.2635853,-5.085444,0.958104,-1.6313809,-6.080448,0.8209778,-1.0132803,5.093977,-1.5512234,-0.2845893
"18 - Macrophages (CD16+, CD68+, CD206+, CD68+, CD163+, cKIT+, iNOS+, TTF1+, CD4dim)",1.1713673,1.6264015,-2.9843125,0.73326534,-4.628431,-1.3633211,-2.3114185,7.3627987,-0.6584266,-5.801302,0.8881824,1.2223853,-2.8436217,-0.93507063,2.9763827,-3.3135498,0.3422057,-0.17649567,-5.708094,-2.2354302,1.27174,3.1757448,-3.8414834,-4.8224096,-2.466574,-0.368278,-3.5765815,-1.5872651,-0.6347335,-4.535228,2.155339,-0.2022372,0.17177777,-1.3256819,0.728747,0.24284416,-0.10821651,0.88377774,-2.3715231,3.2027879,-0.52516156,-5.0077252,-0.9780795,4.715907,1.3056347,0.23007408,3.6304045,1.0635016,-0.15151648
19 - ?(No marker),-4.805542,2.1521692,-0.176949,-5.8927364,-0.23768254,-0.2533287,-0.9697806,0.5294652,-1.03601,-0.84621096,-0.8947352,-2.675942,0.89974666,0.4625197,0.46158776,1.9484352,-2.8768742,-0.71929866,3.0858808,-3.0195866,1.2204986,0.1240018,0.8804766,-2.0068226,-0.13289481,-2.222462,1.198646,3.4841952,-0.87177396,0.04594266,0.99885315,0.24557187,-0.81295013,4.0369644,3.7646058,2.5380874,7.57138,-1.0800521,3.8969147,-7.4231668,-1.3109897,-5.9493427,4.7173386,3.449716,-0.83351505,4.8110466,0.6363311,-1.3650732,-0.045375675
"20 - Epithelial cells (Keratin818+, SARSCoV2S1+)",4.5615554,0.25404757,-2.8099477,-0.5878703,-2.4988573,1.2297531,-1.8042372,-3.2264776,-0.03827303,3.645502,0.7236757,0.5148966,-2.5219855,-1.916224,-1.242471,5.541654,2.4103336,-1.8649952,3.636818,0.2389826,-4.3027205,-3.9498732,-6.5384502,3.5021493,0.15783906,-0.9909626,-0.13951756,-3.0396852,2.2532134,-2.4413543,3.0984087,-1.2527096,-0.79242283,-1.2605268,0.90644526,-1.5811739,5.400836,-0.1607903,-0.3365007,-1.3560761,1.128323,-3.9890492,-5.6187577,-4.1362123,-1.0939127,-0.2368109,1.582926,1.654032,0.78200686
